,project_name,oneliner,git_namespace,git_url,platform,labels,topic,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update,project_age_in_years,field,activity,community,size,total_score
402,"<a href=""https://github.com/STS-Rosario/carpoolear.git"" style = ""color: black"">Carpoolear</a>",The first Argentine Facebook app that allows the users of this social network to share car trips with other users.,STS-Rosario,https://github.com/STS-Rosario/carpoolear.git,github,"vuejs,frontend,carpooling,app,cordova,mobile,web",Mobility and Transportation,"2020/07/02, 12:21:51",79.0,0.0,14.0,True,Vue,STS Rosario,STS-Rosario,"Vue,CSS,JavaScript,HTML",https://carpoolear.com.ar,,"2016/12/10, 16:11:17",2161.0,LGPL-3.0,0.0,739.0,"2022/07/07, 01:41:29",26.0,49.0,53.0,4.0,126.0,22.0,0.2,0.5588822355289421,,,0.0,10.0,False,,False,False,,,https://github.com/STS-Rosario,http://www.stsrosario.org.ar/index.html,Rosario,,,https://avatars.githubusercontent.com/u/24493883?v=4,,,,5.920547945205479,Consumption of Energy and Resources,1.1543967280163598,1.928425357873211,2.0408997955010224,0.49574297978739806
404,"<a href=""https://github.com/OpenEVSE/open_evse.git"" style = ""color: black"">OpenEVSE</a>",Firmware for OpenEVSE: Open Source Hardware J1772 Electric Vehicle Supply Equipment.,OpenEVSE,https://github.com/OpenEVSE/open_evse.git,github,,Mobility and Transportation,"2022/08/30, 17:47:46",76.0,3.0,21.0,True,C++,OpenEVSE,OpenEVSE,"C++,Roff,C,Objective-C,Shell,Batchfile",,,"2015/11/10, 21:46:15",2556.0,GPL-3.0,86.0,1010.0,"2022/01/21, 14:23:28",3.0,10.0,10.0,5.0,293.0,3.0,0.2,0.4294790343074968,"2022/04/07, 19:16:51",latest,0.0,16.0,False,,False,False,"Tifaifai/open_evse,jeremypoulter/open_evse,OpenEVSE/open_evse",,https://github.com/OpenEVSE,http://www.openevse.com,,,,https://avatars.githubusercontent.com/u/14914533?v=4,,,,7.002739726027397,Consumption of Energy and Resources,2.4473415132924337,1.9212678936605316,1.7878323108384457,0.5959696301434626
405,"<a href=""https://github.com/OpenEVSE/ESP8266_WiFi_v2.x.git"" style = ""color: black"">OpenEVSE WiFi gateway</a>",Uses an ESP8266 (ESP-12) which communicates with the OpenEVSE controller via serial utilizing the existing RAPI API serial interface.,OpenEVSE,https://github.com/OpenEVSE/ESP8266_WiFi_v2.x.git,github,"esp8266,openevse,openenergymonitor,evse,wifi,emoncms,mqtt-client",Mobility and Transportation,"2021/10/07, 14:45:06",72.0,0.0,3.0,True,C,OpenEVSE,OpenEVSE,"C,C++,JavaScript,Python,Shell",https://openevse.openenergymonitor.org,,"2017/03/02, 20:44:50",2078.0,GPL-3.0,0.0,852.0,"2022/05/16, 16:53:54",19.0,109.0,246.0,1.0,178.0,0.0,0.1,0.528443113772455,"2020/07/29, 19:08:08",2.9.1,0.0,15.0,False,,False,False,,,https://github.com/OpenEVSE,http://www.openevse.com,,,,https://avatars.githubusercontent.com/u/14914533?v=4,,,,5.693150684931507,Consumption of Energy and Resources,1.2924335378323109,1.955521472392638,2.6733128834355826,0.5646192942990316
406,"<a href=""https://github.com/hove-io/navitia.git"" style = ""color: black"">navitia</a>","An open source web API, initially built to provide traveler information on urban transportation networks.",CanalTP,https://github.com/hove-io/navitia.git,github,"public-transportation,navitia,open-api,journey-planner,gtfs,trip-planner,mobility,mobility-as-a-service,trip-planning",Mobility and Transportation,"2022/11/10, 10:27:00",383.0,0.0,16.0,True,C++,Hove,hove-io,"C++,Python,CMake,Shell,C,Scala,Mako,HTML,Procfile",https://www.navitia.io/,,"2013/06/19, 15:34:30",3431.0,AGPL-3.0,992.0,19816.0,"2022/11/08, 13:12:14",40.0,3682.0,3810.0,239.0,2.0,12.0,2.4,0.8587618403247632,,,0.0,65.0,False,,False,True,,,https://github.com/hove-io,https://www.navitia.io,Paris,,,https://avatars.githubusercontent.com/u/2743985?v=4,,,,9.4,Consumption of Energy and Resources,2.175357873210634,2.9238241308793453,3.947341513292433,0.8630036696809112
408,"<a href=""https://github.com/openmobilityfoundation/mobility-data-specification.git"" style = ""color: black"">mobility-data-specification</a>",A data standard to enable communication between mobility companies and local governments.,openmobilityfoundation,https://github.com/openmobilityfoundation/mobility-data-specification.git,github,"mds,scooters,cities,carshare,bikesharing,scooter-sharing,mobility-as-a-service,bike-share,bike-sharing,mobility,mobility-data,micromobility,passenger-services,delivery-robot,geofencing,right-of-way,policy-as-code,delivery,taxi",Mobility and Transportation,"2021/11/04, 13:35:27",611.0,0.0,60.0,True,Python,Open Mobility Foundation,openmobilityfoundation,Python,https://www.openmobilityfoundation.org/about-mds/,,"2018/05/03, 18:21:02",1652.0,CUSTOM,0.0,1451.0,"2022/11/10, 12:48:36",112.0,431.0,663.0,48.0,0.0,14.0,0.1,0.5873827791986359,"2021/11/04, 13:41:41",1.2.0,0.0,79.0,False,,True,True,,,https://github.com/openmobilityfoundation,http://www.openmobilityfoundation.org/,,,,https://avatars.githubusercontent.com/u/52187191?v=4,,,,4.526027397260274,Consumption of Energy and Resources,1.2837423312883436,2.2719836400817996,3.4151329243353787,0.661222462465974
409,"<a href=""https://github.com/mdolab/openconcept.git"" style = ""color: black"">OpenConcept</a>",A toolkit for conceptual MDAO of aircraft with unconventional propulsion architectures.,mdolab,https://github.com/mdolab/openconcept.git,github,,Mobility and Transportation,"2022/11/01, 14:07:03",23.0,0.0,6.0,True,Python,MDO Lab,mdolab,Python,,",https://doi.org/10.3390/aerospace9050243","2018/06/28, 17:01:48",1596.0,MIT,16.0,159.0,"2022/11/01, 14:07:07",0.0,35.0,44.0,16.0,9.0,0.0,6.6,0.1558441558441559,"2022/11/01, 14:08:50",v1.0.1,0.0,5.0,False,,False,False,,,https://github.com/mdolab,mdolab.engin.umich.edu,,,,https://avatars.githubusercontent.com/u/26934866?v=4,,,,4.372602739726028,Consumption of Energy and Resources,2.0853783231083844,1.6825153374233128,1.3323108384458078,0.49696446036992964
410,"<a href=""https://github.com/openchargemap/ocm-system.git"" style = ""color: black"">Open Charge Map</a>",The global public registry of electric vehicle charging locations.,openchargemap,https://github.com/openchargemap/ocm-system.git,github,,Mobility and Transportation,"2022/11/09, 13:06:34",74.0,0.0,15.0,True,C#,Open Charge Map,openchargemap,"C#,HTML,JavaScript,TypeScript,CSS,SCSS,Dockerfile",https://openchargemap.org,,"2013/05/31, 08:48:24",3450.0,MIT,54.0,925.0,"2022/11/09, 13:06:58",77.0,37.0,127.0,12.0,1.0,16.0,0.0,0.0444697833523375,,,0.0,10.0,False,,True,False,,,https://github.com/openchargemap,http://openchargemap.org,,,,https://avatars.githubusercontent.com/u/2486335?v=4,,,,9.452054794520548,Consumption of Energy and Resources,1.2484662576687118,1.0342535787321063,2.2275051124744376,0.4199164510519496
411,"<a href=""https://github.com/evcc-io/evcc.git"" style = ""color: black"">EVCC</a>",An extensible EV Charge Controller with PV integration implemented in Go.,andig,https://github.com/evcc-io/evcc.git,github,"mqtt,golang,pv,wallbox,emobility,charger,wallbe,home-automation",Mobility and Transportation,"2022/11/10, 17:42:50",869.0,23.0,545.0,True,Go,,evcc-io,"Go,Vue,JavaScript,Smarty,CSS,Shell,Makefile,Dockerfile,HTML",https://evcc.io,,"2019/12/06, 16:27:04",1070.0,MIT,1201.0,2468.0,"2022/11/10, 14:50:05",29.0,1568.0,2609.0,1464.0,0.0,18.0,1.1,0.2349794238683127,"2022/11/04, 12:05:18",0.106.3,0.0,66.0,True,"github,patreon,open_collective,ko_fi,tidelift,community_bridge,liberapay,issuehunt,otechie,custom",False,False,"JanDragon/evcc,opensprinklershop/evcc,matspi/evcc,jkmssoft/evcc,MrJayC/evcc,fawick/evcc,premultiply/evcc,mclane/evccWOPhases,Pjg-Git/evcc,SirkoVZ/evcc,int5749/evcc,waldtraut1981/evcc,lukasbisdorf/evcc,texperiri/evcc,Chris591/evcc,bboehmke/evcc,StefanSchoof/evcc,PanNwt/evcc,bicaluv/evcc,thierolm/evcc,rivengh/evcc,schenlap/evcc,evcc-io/evcc",,https://github.com/evcc-io,https://evcc.io,Germany,,,https://avatars.githubusercontent.com/u/81383504?v=4,,,,2.9315068493150687,Consumption of Energy and Resources,2.9534764826175866,2.2070552147239266,3.7300613496932518,0.8379859293569649
412,"<a href=""https://github.com/steve-community/steve.git"" style = ""color: black"">SteVe</a>","Provides basic functions for the administration of charge points, user data and RFID cards for user authentication and was tested successfully in operation.",RWTH-i5-IDSG,https://github.com/steve-community/steve.git,github,"steve,ocpp,java,emobility,chargingstation,mobility,smarthome",Mobility and Transportation,"2022/10/24, 07:49:28",399.0,0.0,143.0,True,Java,SteVe Community,steve-community,"Java,CSS,JavaScript,Dockerfile",,,"2013/09/05, 12:31:46",3353.0,GPL-3.0,248.0,1723.0,"2022/11/07, 07:06:43",75.0,501.0,886.0,240.0,3.0,9.0,0.0,0.3361027190332326,"2022/10/05, 05:25:11",steve-3.5.0,0.0,16.0,True,github,False,False,,,https://github.com/steve-community,,Germany,,,https://avatars.githubusercontent.com/u/112710077?v=4,,,,9.186301369863013,Consumption of Energy and Resources,2.7724948875255624,1.4841513292433537,3.291922290388548,0.7032272893230781
413,"<a href=""https://github.com/SwitchEV/RISE-V2G.git"" style = ""color: black"">RISE-V2G</a>",The only fully-featured reference implementation of the Vehicle-2-Grid communication interface ISO 15118.,V2GClarity,https://github.com/SwitchEV/RISE-V2G.git,github,,Mobility and Transportation,"2022/06/02, 08:57:28",156.0,0.0,41.0,True,Java,Switch,SwitchEV,"Java,Batchfile,Shell",,,"2017/07/20, 18:59:25",1939.0,MIT,14.0,182.0,"2022/01/28, 13:52:00",16.0,33.0,76.0,17.0,286.0,4.0,0.0,0.5714285714285714,"2020/07/23, 16:44:22",1.2.6,0.0,11.0,False,,False,False,,,https://github.com/SwitchEV,https://www.switch-ev.com,"London, UK",,,https://avatars.githubusercontent.com/u/30324321?v=4,,,,5.3123287671232875,Consumption of Energy and Resources,2.087423312883436,1.6549079754601226,1.7310838445807772,0.5273518142653218
416,"<a href=""https://github.com/grote/Transportr.git"" style = ""color: black"">Transportr</a>",The public transport companion that respects your privacy and your freedom.,grote,https://github.com/grote/Transportr.git,github,"public-transportation,android-app,map",Mobility and Transportation,"2022/08/07, 14:52:48",834.0,0.0,108.0,True,Kotlin,,,"Kotlin,Java,Python,Ruby,Shell",https://transportr.app,,"2013/09/06, 10:00:57",3352.0,GPL-3.0,4.0,1263.0,"2022/09/27, 09:20:15",133.0,168.0,693.0,23.0,44.0,16.0,2.1,0.1609477124183006,"2021/11/08, 12:52:13",2.1.4,0.0,40.0,True,"github,liberapay,custom",False,True,,,,,,,,,,,,9.183561643835617,Consumption of Energy and Resources,1.8098159509202456,2.205521472392638,3.2044989775051125,0.685886554547511
417,"<a href=""https://github.com/OneBusAway/onebusaway-android.git"" style = ""color: black"">OneBusAway</a>",The Open Source platform for Real Time Transit Info.,OneBusAway,https://github.com/OneBusAway/onebusaway-android.git,github,"android,onebusaway,java,public-transportation,transit,open-transit-software-foundation",Mobility and Transportation,"2022/06/22, 13:57:24",423.0,0.0,23.0,True,Java,OneBusAway,OneBusAway,"Java,Kotlin,HTML,PowerShell,Python,Shell",http://www.onebusaway.org/,,"2011/06/10, 01:07:10",4171.0,CUSTOM,25.0,2384.0,"2022/07/19, 23:20:36",176.0,389.0,916.0,12.0,113.0,13.0,0.0,0.3212410501193318,"2022/06/14, 21:24:42",v2.10.1,0.0,27.0,False,,False,True,,,https://github.com/OneBusAway,https://github.com/OneBusAway/onebusaway/wiki,,,,https://avatars.githubusercontent.com/u/1428806?v=4,,,,11.427397260273972,Consumption of Energy and Resources,2.226993865030675,1.5664621676891615,3.4166666666666665,0.6713350448308408
418,"<a href=""https://github.com/google/transitfeed.git"" style = ""color: black"">transitfeed</a>","A Python library for reading, validating and writing transit schedule information in the GTFS format.",google,https://github.com/google/transitfeed.git,github,,Mobility and Transportation,"2022/05/23, 16:23:53",654.0,36.0,30.0,True,Python,Google,google,"Python,JavaScript,CSS,HTML,VBScript",https://github.com/google/transitfeed/wiki,,"2014/09/15, 15:16:32",2978.0,Apache-2.0,1.0,434.0,"2021/10/16, 08:29:50",194.0,48.0,327.0,2.0,390.0,21.0,0.4,0.4968553459119497,"2018/01/24, 22:09:07",1.2.16,0.0,23.0,False,,False,True,"informaticacba/gtfseditor,avilaton/gtfseditor,etalab/transport-validator-python,tulsawebdevs/tulsa-transit-google,YoRyan/busbook,Thynix/aaata-buspage,jonathanzhang99/livesubway,brennv/gtfs-pipeline,SamTrans/gtfs-qa,zacs/victoriaclipper-gtfs,ultranaut/jitney,bcpearce/nyc-train-arrival-server,NoxHarmonium/transport-heartbeat,egofer/organicity-risum,yinnonsanders/tcat_gtfs,philnielsen/alexa-metra,bcpearce/nyc-train-arrival,askogvold/shapes-editor,AaronMorais/textYRT,guidj/transit,kdheepak/RTDT,azavea/gtfs-feed-fetcher,flibbertigibbet/gtfs-feed-fetcher,publictransit-in/livetrains,Trillium-Solutions/oba_rvtd_monitor,grote/osm2gtfs,fgcarto/gtfsdb,peterlau/gtfsdb-versioned,opentripplanner/OTPSetup,demotera/mobirennes,Tristramg/mumoro,novalis/BusTracker,jcabannes/Projet_tut,ed-g/transitfeed_web,Trillium-Solutions/oba_rvtd_deployer,evansiroky/OnTransit",,https://github.com/google,https://opensource.google/,,,,https://avatars.githubusercontent.com/u/1342004?v=4,,,,8.158904109589042,Consumption of Energy and Resources,1.502044989775051,2.1595092024539877,2.469836400817996,0.5903161706345416
419,"<a href=""https://github.com/BlinkTagInc/node-gtfs.git"" style = ""color: black"">node-gtfs</a>","Import GTFS transit data into SQLite and query routes, stops, times, fares and more.",BlinkTagInc,https://github.com/BlinkTagInc/node-gtfs.git,github,"gtfs,node-gtfs,transit,transit-data,public-transportation,sqlite,geojson",Mobility and Transportation,"2022/11/08, 22:47:23",367.0,0.0,36.0,True,JavaScript,BlinkTag,BlinkTagInc,"JavaScript,TypeScript,Shell",,,"2012/02/13, 17:38:00",3923.0,MIT,42.0,689.0,"2022/11/08, 22:48:24",2.0,62.0,130.0,9.0,1.0,0.0,0.8,0.12,"2022/11/08, 22:47:47",3.6.1,0.0,33.0,False,,False,False,,,https://github.com/BlinkTagInc,https://blinktag.com,"San Francisco, CA",,,https://avatars.githubusercontent.com/u/12618433?v=4,,,,10.747945205479452,Consumption of Energy and Resources,2.0076687116564416,1.9442740286298568,2.525562372188139,0.6185978879511544
420,"<a href=""https://github.com/schildbach/public-transport-enabler.git"" style = ""color: black"">Public Transport Enabler</a>",Unleash public transport data in your Java project.,schildbach,https://github.com/schildbach/public-transport-enabler.git,github,"java,library,public-transportation,navitia,hafas,efa",Mobility and Transportation,"2022/10/24, 15:25:02",329.0,0.0,43.0,True,Java,,,Java,https://groups.google.com/forum/#!forum/public-transport-enabler-discuss,,"2013/05/27, 15:31:24",3454.0,GPL-3.0,20.0,2464.0,"2022/05/06, 08:46:34",212.0,134.0,276.0,13.0,188.0,27.0,0.6,0.0709939148073022,,,0.0,36.0,False,,False,False,,,,,,,,,,,,9.463013698630137,Consumption of Energy and Resources,1.7632924335378322,1.8404907975460123,3.133435582822086,0.6346157766178505
421,"<a href=""https://github.com/grote/osm2gtfs.git"" style = ""color: black"">osm2gtfs</a>",Turn OpenStreetMap data and schedule information into GTFS.,grote,https://github.com/grote/osm2gtfs.git,github,"openstreetmap,gtfs,schedule,public-transportation,python",Mobility and Transportation,"2020/02/03, 07:14:37",81.0,0.0,6.0,True,Python,,,Python,,,"2016/07/11, 21:07:57",2312.0,GPL-3.0,0.0,111.0,"2021/12/10, 18:16:45",32.0,82.0,133.0,1.0,335.0,3.0,1.6,0.6296296296296297,,,0.0,9.0,False,,False,False,,,,,,,,,,,,6.3342465753424655,Consumption of Energy and Resources,1.1983640081799591,2.3164621676891617,1.8542944785276074,0.5278417865316057
422,"<a href=""https://github.com/systragroup/quetzal.git"" style = ""color: black"">Quetzal</a>",A modeling library designed for transport planning and traffic forecasts.,systragroup,https://github.com/systragroup/quetzal.git,github,,Mobility and Transportation,"2022/09/22, 13:19:43",34.0,1.0,13.0,True,Jupyter Notebook,SYSTRA,systragroup,"Jupyter Notebook,Python,QML,Batchfile,Shell,HTML",,,"2018/11/20, 08:30:37",1451.0,CUSTOM,110.0,489.0,"2022/09/22, 13:19:44",15.0,74.0,82.0,30.0,49.0,10.0,0.0,0.4150943396226415,"2021/01/29, 09:13:16",v2.0.0,0.0,9.0,False,,False,False,systragroup/quetzal_santo_domingo,,https://github.com/systragroup,https://www.systra.com,,,,https://avatars.githubusercontent.com/u/45179084?v=4,,,,3.9753424657534246,Consumption of Energy and Resources,2.2223926380368098,1.3849693251533743,2.034764826175869,0.5351787366241062
423,"<a href=""https://github.com/marlinarnz/quetzal_germany.git"" style = ""color: black"">quetzal_germany</a>",A four step transport model for Germany using the quetzal transport modeling suite.,marlinarnz,https://github.com/marlinarnz/quetzal_germany.git,github,,Mobility and Transportation,"2022/11/10, 10:43:37",5.0,0.0,3.0,True,Jupyter Notebook,,,Jupyter Notebook,,",https://doi.org/10.1186/s12544-022-00568-9\n\nIt,https://doi.org/10.5281/zenodo.5659679","2021/02/19, 15:12:46",629.0,MIT,64.0,94.0,"2022/09/22, 13:19:44",0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,"2022/08/10, 09:42:54",v1.2.0,0.0,1.0,False,,False,False,,,,,,,,,,,,1.7232876712328766,Consumption of Energy and Resources,1.9100204498977504,0.30265848670756645,0.19120654396728018,0.23036628054752106
425,"<a href=""https://github.com/Universite-Gustave-Eiffel/NoiseModelling.git"" style = ""color: black"">NoiseModelling</a>",A free and open source model to compute noise maps.,Ifsttar,https://github.com/Universite-Gustave-Eiffel/NoiseModelling.git,github,"propagation,acoustics,gis,modelling,noise,java,cnossos-eu,noise-modelling,pathfinder,pathfinding,research,sound-propagation,noise-propagation",Mobility and Transportation,"2022/10/17, 11:42:40",99.0,0.0,33.0,True,Java,Université Gustave Eiffel,Universite-Gustave-Eiffel,"Java,Groovy,CSS,HTML,JavaScript,Python,Shell,Batchfile",https://noisemodelling.readthedocs.io ,,"2012/07/12, 11:21:06",3773.0,GPL-3.0,431.0,2401.0,"2022/10/17, 11:42:45",47.0,280.0,443.0,144.0,24.0,1.0,1.1,0.5244956772334294,"2022/10/17, 09:28:45",v4.0.2,0.0,15.0,False,,True,False,,,https://github.com/Universite-Gustave-Eiffel,https://www.univ-gustave-eiffel.fr/,France,,,https://avatars.githubusercontent.com/u/7008647?v=4,,,,10.336986301369864,Consumption of Energy and Resources,3.047546012269939,2.289366053169734,3.151840490797546,0.8078342640690749
426,"<a href=""https://github.com/Universite-Gustave-Eiffel/NoiseCapture.git"" style = ""color: black"">NoiseCapture</a>",Android App dedicated to the measurement of environmental noise.,Ifsttar,https://github.com/Universite-Gustave-Eiffel/NoiseCapture.git,github,"measurements,noise-maps,collaborative-science,android",Mobility and Transportation,"2022/07/28, 07:59:00",61.0,0.0,13.0,True,Java,Université Gustave Eiffel,Universite-Gustave-Eiffel,"Java,Groovy,HTML,CSS,JavaScript,Scheme,Python,MATLAB",http://noise-planet.org/fr/noisecapture.html,,"2015/03/25, 14:45:36",2787.0,GPL-3.0,57.0,1002.0,"2022/10/27, 12:17:17",72.0,172.0,305.0,14.0,14.0,1.0,0.0,0.15,"2022/10/27, 12:31:07",v1.2.23,0.0,8.0,False,,False,False,,,https://github.com/Universite-Gustave-Eiffel,https://www.univ-gustave-eiffel.fr/,France,,,https://avatars.githubusercontent.com/u/7008647?v=4,,,,7.635616438356164,Consumption of Energy and Resources,2.307770961145194,1.0715746421267893,2.6232106339468304,0.5572191556586049
427,"<a href=""https://github.com/ropensci/bikedata.git"" style = ""color: black"">bikedata</a>",Aims to enable ready importing of historical trip data from all public bicycle hire systems which provide data. Will be expanded on an ongoing basis as more systems publish open data.,ropensci,https://github.com/ropensci/bikedata.git,github,"bicycle-hire-systems,r,rstats,bike-hire,bicycle-hire,database,bike-data,r-package,peer-reviewed",Mobility and Transportation,"2022/03/23, 14:55:25",78.0,0.0,4.0,True,R,rOpenSci,ropensci,"R,C++,C,TeX,Makefile,Shell",https://docs.ropensci.org/bikedata,",https://doi.org/10.21105/joss.00471\n#,https://doi.org/10.21105/joss.00471","2016/12/12, 16:14:07",2159.0,GPL-3.0,6.0,678.0,"2022/02/01, 12:13:51",19.0,15.0,85.0,1.0,282.0,0.0,0.0,0.0417310664605873,"2019/05/09, 13:38:38",v0.2.3,0.0,9.0,False,,False,True,,,https://github.com/ropensci,https://ropensci.org/,"Berkeley, CA",,,https://avatars.githubusercontent.com/u/1200269?v=4,,,,5.9150684931506845,Consumption of Energy and Resources,1.5265848670756648,0.9861963190184049,1.871676891615542,0.41109711302609697
428,"<a href=""https://github.com/cyclosm/cyclosm-cartocss-style.git"" style = ""color: black"">CyclOSM</a>",A CartoCSS map style designed with cycling in mind.,cyclosm,https://github.com/cyclosm/cyclosm-cartocss-style.git,github,"osm,cartocss,cycling,openstreetmap,map,tiles",Mobility and Transportation,"2021/09/13, 19:52:16",175.0,0.0,41.0,True,CartoCSS,CyclOSM,cyclosm,"CartoCSS,Python,JavaScript,Shell,Dockerfile",https://www.cyclosm.org,,"2019/01/23, 15:03:34",1387.0,CUSTOM,0.0,934.0,"2022/08/29, 08:32:27",84.0,154.0,551.0,9.0,73.0,9.0,0.0,0.4460338101430429,"2021/07/22, 17:49:55",v0.6,4.0,11.0,False,,False,True,,,https://github.com/cyclosm,,,,,https://avatars.githubusercontent.com/u/47216240?v=4,,,,3.8,Consumption of Energy and Resources,1.5270961145194273,1.5030674846625767,2.8164621676891612,0.5479921622964002
429,"<a href=""https://github.com/upb-lea/gym-electric-motor.git"" style = ""color: black"">Gym Electric Motor</a>",An OpenAI Gym Environment for Electric Motors.,upb-lea,https://github.com/upb-lea/gym-electric-motor.git,github,"reinforcement-learning,openai-gym-environments,machinelearning,openai-gym,openai,gym-environment,pmsm,motor-models,converters,benchmark,electrical-engineering,electric-drive",Mobility and Transportation,"2022/10/07, 11:25:28",201.0,0.0,68.0,True,Python,Paderborn University - LEA,upb-lea,Python,https://upb-lea.github.io/gym-electric-motor/,",https://doi.org/10.5281/zenodo.4355691,https://doi.org/10.21105/joss.02498,https://doi.org/10.21105/joss.02498","2019/10/21, 14:04:01",1116.0,MIT,116.0,890.0,"2022/10/07, 11:28:37",14.0,94.0,189.0,33.0,34.0,2.0,2.1,0.6063348416289593,"2022/06/15, 07:15:42",v1.1.0,0.0,11.0,False,,True,True,,,https://github.com/upb-lea,https://ei.uni-paderborn.de/en/lea/,"Paderborn, Germany",,,https://avatars.githubusercontent.com/u/55782224?v=4,,,,3.0575342465753423,Consumption of Energy and Resources,2.458077709611452,2.4146216768916156,2.5138036809815953,0.7129257782248265
430,"<a href=""https://github.com/LBNL-UCB-STI/beam.git"" style = ""color: black"">BEAM</a>","The Framework for Modeling Behavior, Energy, Autonomy, and Mobility in Transportation Systems.",LBNL-UCB-STI,https://github.com/LBNL-UCB-STI/beam.git,github,,Mobility and Transportation,"2022/11/09, 15:34:47",128.0,0.0,15.0,True,Scala,LBNL/UCB - Sustainable Transportation Initiative,LBNL-UCB-STI,"Scala,Jupyter Notebook,Python,Java,R,Batchfile,Shell,Dockerfile,Smarty,Makefile,JavaScript",,,"2016/11/07, 20:38:29",2193.0,CUSTOM,1401.0,15220.0,"2022/11/09, 15:34:49",124.0,1792.0,3542.0,303.0,1.0,65.0,0.6,0.8218543046357616,"2019/11/14, 15:11:09",pilates-runs-10-28-2019,0.0,47.0,False,,False,False,,,https://github.com/LBNL-UCB-STI,,"Berkeley, CA",,,https://avatars.githubusercontent.com/u/26527414?v=4,,,,6.008219178082192,Consumption of Energy and Resources,2.3548057259713704,2.622699386503067,3.8875255623721885,0.8411892639454729
431,"<a href=""https://github.com/ubahnverleih/WoBike.git"" style = ""color: black"">WoBike</a>",Public transport and multimodal routing apps could benefit from showing nearby bikes from bikesharing services. So here's a list showing the APIs of a few of these platforms.,ubahnverleih,https://github.com/ubahnverleih/WoBike.git,github,"bike,sharing,api,map,location,documentation,opendata,scooter,bike-share,scooter-sharing",Mobility and Transportation,"2022/10/03, 15:35:18",870.0,0.0,100.0,True,,,,,,,"2017/08/04, 15:12:14",1924.0,CUSTOM,13.0,295.0,"2022/10/03, 15:35:19",100.0,81.0,153.0,12.0,38.0,2.0,0.0,0.7142857142857143,,,0.0,48.0,False,,False,False,,,,,,,,,,,,5.271232876712329,Consumption of Energy and Resources,1.4243353783231083,2.100715746421268,2.4560327198364007,0.575227455938082
432,"<a href=""https://github.com/PierrickP/multicycles.git"" style = ""color: black"">multicycles</a>","Aggregates on one map, more than 100 share vehicles like bikes, scooters, mopeds and cars.",PierrickP,https://github.com/PierrickP/multicycles.git,github,"velib,freefloating,bike,bikesharing,bikeshare,mobike,bike-rental-services,lime,bird,voi,tier,api,carsharing,scooters,bikes,cars",Mobility and Transportation,"2022/09/30, 15:24:09",84.0,1.0,4.0,True,Vue,,,"Vue,JavaScript,SCSS,Shell,Dockerfile,HTML",https://multicycles.org/,,"2017/12/27, 09:43:15",1779.0,MIT,7.0,613.0,"2022/04/12, 23:50:51",34.0,80.0,153.0,9.0,211.0,34.0,0.0,0.111310592459605,,,0.0,7.0,False,,False,False,PierrickP/multicycles,,,,,,,,,,,4.873972602739726,Consumption of Energy and Resources,1.5848670756646217,0.9749488752556237,2.149284253578732,0.4385174372741494
433,"<a href=""https://github.com/eskerda/pybikes.git"" style = ""color: black"">pybikes</a>","Provides a set of tools to scrape bike sharing data from different websites and APIs, thus providing a coherent and generalized set of classes and methods to access this sort of information.",eskerda,https://github.com/eskerda/pybikes.git,github,,Mobility and Transportation,"2022/10/25, 11:55:14",491.0,0.0,25.0,True,Python,,,"Python,Makefile",https://citybik.es,,"2010/07/16, 10:07:59",4500.0,LGPL-3.0,132.0,1107.0,"2022/10/25, 11:55:17",62.0,341.0,448.0,69.0,16.0,7.0,0.1,0.3974999999999999,,,0.0,82.0,False,,False,False,,,,,,,,,,,,12.32876712328767,Consumption of Energy and Resources,1.935071574642127,2.041922290388548,3.2770961145194275,0.6854315183095047
