project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_update,stargazers_count,number_of_dependents,stars_last_year,project_active_checkbox,dominating_language,organization,organization_user_name,languages,homepage,created,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,open_pullrequests,reviews_per_pr,community_development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,organization_avatar,dependents_repos
Awesome Agriculture,"Open source technology for agriculture, farming, and gardening.",brycejohnston,https://github.com/brycejohnston/awesome-agriculture.git,github,"agriculture,awesome-list,farming,farm,plants,agricultural,crop,soil,grower,weather,awesome,gardening",Curated Lists,2022-02-20 14:25,741,0,179,checked,,CUTR-at-USF,,,,2018-04-25 13:44,CC0-1.0,3,72,2022-02-17 03:51,2,11,11,1,0.10000000,0.17460317,,,0,11,,,,checked,https://avatars.githubusercontent.com/u/1372220?v=4,
EnergyPlus,"A whole building energy simulation program that engineers, architects, and researchers use to model both energy consumption and water usage in buildings.",NREL,https://github.com/NREL/EnergyPlus.git,github,,Buildings and Cities,2022-02-18 04:48,700,0,141,checked,C++,NREL,National Renewable Energy Laboratory,"C++,Fortran,Python,VBA,CMake,C,REALbasic,Batchfile,Shell,Qt Script,HTML,Ruby,Xojo",https://energyplus.net,2013-11-22 14:47,CUSTOM,3878,28360,2022-02-16 17:16,813,2491,8452,38,6.70000000,0.84584894,2022-02-16 02:27,v9.5-py3.8-3,0,66,,,,checked,https://avatars.githubusercontent.com/u/1906800?v=4,
pvlib-python,A set of documented functions for simulating the performance of photovoltaic energy systems.,pvlib,https://github.com/pvlib/pvlib-python.git,github,"solar-energy,python,renewable-energy,renewables,photovoltaic",Photovoltaics and Solar Energy,2022-02-16 08:39,644,208,184,checked,Python,pvlib,pvlib,"Python,TeX,Cython",https://pvlib-python.readthedocs.io,2015-02-17 00:21,BSD-3-Clause,88,1379,2022-02-18 04:06,154,646,1217,29,2.90000000,0.42763696,2021-09-01 22:49,v0.9.0,6,70,,,checked,checked,https://avatars.githubusercontent.com/u/11037261?v=4,"bhavyadureja25/ds_tool_with_upload,Rowan-Paul/HANAIM-OOSE,Sourabh470/IoT_Dashboard,shortfellow/dashapp,sunt05/SuPy,Caedin/RaspberryPiCamera,RubenVanEldik/ect2-bonus-project,instrat-pl/pypsa-pl,ZaninMarco/Copy-of-repository,mape-maker/mape-maker,Adrianonsare/EnergyAnalytics,covetool/clima,AnnabelNkir/La_Galerie,vondeF/solar_prediction-master,illacceptanything/illacceptanything,AIMLAC-Convergence/Convergence,murizu/TUGAS-AKHIR,YashasviBhatt/transformer_streaming,Bimal-Kumar-002/Sentiment-classification,inrae/SISPPEO,burundiocibu/pvlib-prometheus-exporter,fernandochacon92/AAM_APP_MA_2021,SteveShin9330/PV_PRED_LDAPS,alisher592/toy_ems0,alisher592/mpei_pv,PVSC-Python-Tutorials/pyData-2021-Solar-PV-Modeling,rehomewebapp/REhome,rohitsanam/streamlit-basic-app,FZJ-IEK3-VSA/HiSim,tjcoathu/bifacial_radiance,AnaDue99/microCPV_Iluminacion,AssessingSolar/solarstations,zahraghh/multi_objective_optimization,martinrteran/Taller_Python3,hancse/ai_model_deployment,amritPVre/Hourly_GHI_GII_App,davidusb-geek/emhass,thiagohgmello1/pvsystem,AvG97/Avocado-Analyzer,openclimatefix/predict_pv_yield,ralphribeiro/lab,yaotc/PVODataset,waggle-sensor/plugin-solar-irradiance,openclimatefix/nowcasting_dataset,AdamRJensen/adamrjensen.github.io,IMMM-SFA/diyepw,slacgismo/solar-data-tools,UlisseProject/ULISSE,isi-ies-group/hiperion_app,bershawi/PV-simulator-challenge,chrklemm/SESMG,JoseDiego101/Blog,h-quest/FDDA_app,sandialabs/pecos,DitisAlex/HAN-OOSE-Prediction-Model-BackEnd,nxtrung87/Voila,rheia-framework/RHEIA,PVSC-Python-Tutorials/PVSC48-Python-Tutorial,sandialabs/pvOps,isc-konstanz/th-e-yield,UARENForecasting/ESPRR,thesethtruth/LESO,kkriti01/pvsimulator,tinoetzold/PV-Prognose,cccwam/ift6759-project1-public,DCoppitters/RHEIA,arkayyy/surya-disha,EURAC-EEBgroup/CULTURAL-E-Data-Visualization-Library,zahraghh/Two_Stage_SP,BETALAB-team/EUReCA,FlexMeasures/flexmeasures,gpschnaars/zac_pvlib,francomozo/deepCloud,Saq90/ssg,gripenergy/omf,sillygoose/sbhistory,BBISSlab/DistributedEnergyGen,Vladykart/GPReport,mikofski/PVRW2021,mikofski/OLD-PVSC48-Python-Tutorial,CenterForTheBuiltEnvironment/clima,Peque/pvlib-procedural-test,SolarPerformanceInsight/solarperformanceinsight,UARENForecasting/erebos-ams2020,benjaminpillot/greece,Weiming-Hu/RenewableSimulator,SolarGenomeProject/uncertainty-pv-generation-models,rayarka/EG3301R_Data_and_Programs,jeanromainroy/spatial-prediction-afg-landmines,Vesino/Exergy-YDX,brizett/reegis_hp,Rumbelstilzchen/Monitoring,Vesino/pvlib_tesis,louis-richard/irfu-python,abachleda/FM_e-services,ihomelab/effect-of-sampling-rate-on-PV-self-consumption,ChanCheeKean/DS-Project,DuraMAT/pvpro,oemof-heat/solar_models,traiyn/abcdtft,gayashiva/air_model,selmaneislam/rdootl,cdeline/bifacialvf,cogent-computing/Heed-Microcontroller,TheUninvitedGuest/tmh-challenge,zoezhang926/SolarMartSim,prathamrg/solarapp,Adrian658/ClearSkyDetection,jcjveraa/sunscreen-controller,RaphiOriginal/blindAutomation,jungse12/Ford-Deploy,jungse12/Ford-Website,Gkrumbach07/solar_forecaster,pvedu/pvon,danielvanpaass/Demonstrator,cropsinsilico/hothouse,chrisorner/PowerPlan,uiandwe/django-best-practice-example,emanuelosva/solaru,simardeep1792/LOHS,keenchan/111,keenchan/pv,david-salac/Renewable-energy-prediction,lgaspard/repf,andrewlyden/PyLESA,bradbase/flyingkoala_pvlib,DanielFonteneleNogueira/painel,quintel/scenario-tools,kwhanalytics/data-env,UniOfLeicester/plotdarn,greco-project/pvcompare,HrushikeshBodas/HRES_optimization,mesmo-dev/mesmo,yaricp/py-solarhouse,kwhanalytics/insurance-requirements,pvcaptest/pvcaptest,iansloop/PV_Mismatch_Refactoring,pvlib/pvanalytics,ECE-492-W2020-Group-6/smart-blinds-rpi,greco-project/greco_technologies,UARENForecasting/erebos,maxmills1/Irradiance,vegraux/solar_path,panzer/capstone-mppt,david-salac/Fast-SZA-and-SAA-computation,kwhanalytics/postgis-heliostats-py3.5,nicolasholland/yuce,nano-sippe/bifacial_illumination,FZJ-IEK3-VSA/RESKit,oemof/oemof-thermal,tylunel/pvpumpingsystem,Pyosch/vpplib,renewables-ninja/gsee,greco-project/cpvtopvlib,FZJ-IEK3-VSA/tsib,NREL/Solar-Forecasting,Jeffrey-Simpson/Solar-Forecasting,mikofski/pvwatts_emulator,toddkarin/vocmax,cbaretzky/BuildingEnergySimulation,Ekistica/irradiance_synth,coroa/tmhpvsim,MichaelHopwood/PVPolyfit,kwhanalytics/marvin,rory87/caledonia-energy,SolarArbiter/workshop,harpreet153/pv-graph,toddkarin/pvtools,duplessisaa/Docker,SolarArbiter/solarforecastarbiter-core,mesmo-dev/cobmo,25sal/pvprediction,josephmckinsey/NRELHackathon2018,BLM-UoR/BLM,NREL/pv_tomcat,dpinney/omf,be-lb/solar-loader,higab85/off-grid,buds-lab/the-building-data-genome-project,SunPower/pvfactors,hackingmaterials/duramat_dashboard,kwhanalytics/postgis-marvin,hackingmaterials/ivtools,michbeg/IBM-DSX,teamvirtue/smart-sockets-dev,JohannesBertens/InSolarBase,JasonTarzan/PV_Forecast,eckara/CSSS,heliotrope-energy/bifacial,louisguitton/ifp-class-ml,BreakingBytes/pvfree,BreakingBytes/simkit,tplemmens/InSolar,mikofski/pvsc44-clearsky-aod,Solcast/howto-pandas,vkinakh/calc-solar-panel-effectivness,WalterGoedecke/virtualenv,BreakingBytes/UncertaintyWrapper,open-fred/lib_validation,SunPower/PVMismatch,reegis/reegis,adriandole/pv_timelapse,isc-konstanz/emonpv,oemof/feedinlib,NREL/bifacialvf,NREL/rdtools,NREL/bifacial_radiance,nshakhat/PVSimulator"
Earthdata Search,"A web application developed by NASA EOSDIS to enable data discovery, search, comparison, visualization, and access across EOSDIS' Earth Science data holdings.",nasa,https://github.com/nasa/earthdata-search.git,github,"earthdata-search,data-discovery,eosdis,hacktoberfest",Environmental Knowledge Platforms,2022-02-18 18:11,642,0,57,checked,JavaScript,nasa,NASA,"JavaScript,SCSS,HTML,Shell",https://search.earthdata.nasa.gov,2015-08-13 17:13,CUSTOM,293,8326,2022-02-12 12:48,22,1430,1449,8,1.60000000,0.74525536,,,0,37,,,,checked,https://avatars.githubusercontent.com/u/848102?v=4,
palmerpenguins,"The palmerpenguins data contains size measurements for three penguin species observed on three islands in the Palmer Archipelago, Antarctica.",allisonhorst,https://github.com/allisonhorst/palmerpenguins.git,github,,Life Forms and Biodiversity,2022-02-19 10:18,638,0,108,checked,R,openplantpathology,,"R,CSS",https://allisonhorst.github.io/palmerpenguins/,2020-06-05 14:57,CC0-1.0,0,201,2021-12-22 00:55,10,61,74,1,0.00000000,0.19125683,2020-07-25 14:31,v0.1.0,0,5,,,,,https://avatars.githubusercontent.com/u/27719812?v=4,
transitfeed,"A Python library for reading, validating and writing transit schedule information in the GTFS format.",google,https://github.com/google/transitfeed.git,github,,Mobility and Transportation,2022-02-14 08:10,634,38,31,checked,Python,google,Google,"Python,JavaScript,CSS,HTML,VBScript",https://github.com/google/transitfeed/wiki,2014-09-15 15:16,Apache-2.0,0,433,2021-10-16 08:29,193,47,326,21,0.40000000,0.49044586,2018-01-24 22:09,1.2.16,0,22,,,,checked,https://avatars.githubusercontent.com/u/1342004?v=4,"informaticacba/gtfseditor,illacceptanything/illacceptanything,avilaton/gtfseditor,etalab/transport-validator-python,tulsawebdevs/tulsa-transit-google,YoRyan/busbook,Thynix/aaata-buspage,jonathanzhang99/livesubway,brennv/gtfs-pipeline,SamTrans/gtfs-qa,zacs/victoriaclipper-gtfs,ultranaut/jitney,bcpearce/nyc-train-arrival-server,NoxHarmonium/transport-heartbeat,egofer/organicity-risum,yinnonsanders/tcat_gtfs,philnielsen/alexa-metra,bcpearce/nyc-train-arrival,askogvold/shapes-editor,AaronMorais/textYRT,guidj/transit,kdheepak/RTDT,azavea/gtfs-feed-fetcher,flibbertigibbet/gtfs-feed-fetcher,publictransit-in/livetrains,Trillium-Solutions/oba_rvtd_monitor,grote/osm2gtfs,fgcarto/gtfsdb,peterlau/gtfsdb-versioned,MaxBo/graphserver,opentripplanner/OTPSetup,demotera/mobirennes,Tristramg/mumoro,novalis/BusTracker,jcabannes/Projet_tut,ed-g/transitfeed_web,Trillium-Solutions/oba_rvtd_deployer,evansiroky/OnTransit"
NILM,Non-Intrusive Load Monitoring is the process of estimating the energy consumed by individual appliances given just a whole-house power meter reading.,nilmtk,https://github.com/nilmtk/nilmtk.git,github,"disaggregation,python,nilm,energy,forecasting,algorithms,ipython-notebook,energy-disaggregation,nilmtk,nilm-algorithms",Buildings and Cities,2022-02-20 18:22,632,0,81,checked,Python,nilmtk,,"Python,Jupyter Notebook,Shell,Batchfile",http://nilmtk.github.io,2013-12-03 11:39,Apache-2.0,13,1868,2022-01-10 10:20,96,102,849,5,0.40000000,0.45090682,2020-08-27 01:27,0.4.2,0,30,,,,,https://avatars.githubusercontent.com/u/6094836?v=4,
PyPSA,"A free software toolbox for simulating and optimizing modern power systems that include features such as conventional generators with unit commitment, variable wind and solar generation, storage units, coupling to other energy sectors, and mixed alternating and direct current networks.",PyPSA,https://github.com/PyPSA/PyPSA.git,github,"python,loadflow,optimisation,pyomo,energy-system,power-systems-analysis,optimal-power-flow,powerflow,energy,energy-systems,pypsa,power-flow,power-systems",Energy Modeling and Optimization,2022-02-17 16:44,613,32,162,checked,Python,PyPSA,PyPSA,"Python,CSS,Makefile",https://pypsa.readthedocs.io,2016-01-11 09:04,MIT,180,1261,2022-02-18 08:54,39,194,324,7,0.50000000,0.62360595,2022-02-18 08:55,v0.19.1,0,36,,,,,https://avatars.githubusercontent.com/u/32890768?v=4,"enlite-ai/maze-l2rpn-2021-submission,Adrianonsare/Geospatial-PowerAnalysis,pypsa-meets-africa/pypsa-africa,instrat-pl/pypsa-pl,openego/eGon-data,illacceptanything/illacceptanything,maxnutz/res_aut,montefesp/EPIPPy,dgusain1/energysim,eh-tien/L2RPN_submission_simple,PyPSA/pypsa-eur,jnmelchorg/pyensys,martynvdijke/Stargazer,Luiz-Phillip/State_Estimation,AncillaryServicesAcquisitionModel/ASAM,ChillkroeteTTS/ccf-analysis-of-two-coupled-ou-processes,BDonnot/ChroniX2Grid,ik4o5/docker,PyPSA/whobs-server,lukasnacken/pypsa-sec-mga,mbardwell/masters-simapprox,daanbakker1995/PyPSAServerApi,FRESNA/netallocation,mbardwell/intelligent-simulation-handler,fonsp/grid-analysis,mathildebadoual/training,martynvandijke/Stargazer,openego/eGo,openego/eTraGo,openego/ding0,openego/ego.powerflow,openego/eDisGo"
Oceananigans.jl,Fast and friendly fluid dynamics on CPUs and GPUs.,CliMA,https://github.com/CliMA/Oceananigans.jl.git,github,"climate,ocean,fluid-dynamics,julia,gpu,climate-change,machine-learning,data-assimilation",Salt and Fresh Water,2022-02-19 20:24,585,0,201,checked,Julia,CliMA,Climate Modeling Alliance,"Julia,Mathematica,Python,TeX,Dockerfile",https://clima.github.io/OceananigansDocumentation/stable,2018-10-13 14:15,MIT,2473,8837,2022-02-19 10:50,257,1176,1951,25,3.20000000,0.53406067,2022-02-19 11:28,v0.71.1,0,32,,,,checked,https://avatars.githubusercontent.com/u/43161188?v=4,
pangeo,A community platform for Big Data geoscience.,pangeo-data,https://github.com/pangeo-data/pangeo.git,github,hacktoberfest,Climate and Earth Science,2022-02-12 12:51,582,0,92,checked,Jupyter Notebook,pangeo-data,Pangeo,"Jupyter Notebook,Shell,Python",http://pangeo.io,2017-08-30 00:48,CUSTOM,84,465,2022-02-20 18:54,9,255,849,6,0.00000000,0.82487310,,,0,75,,,,,https://avatars.githubusercontent.com/u/23299451?v=4,
gbfs,"Documentation for the General Bikeshare Feed Specification, a standardized data feed for shared mobility system availability.",NABSA,https://github.com/NABSA/gbfs.git,github,"gbfs,bikesharing,mobility,scooter-sharing,bike-share,bike-sharing,mobility-as-a-service,mobilitydata,carshare,carsharing,open-data,gbfs-documentation,shared-mobility",Mobility and Transportation,2022-02-16 13:15,578,0,77,checked,,NABSA,North American Bike Share Association,,,2015-12-04 23:43,CUSTOM,123,480,2022-02-18 14:02,9,278,400,1,0.00000000,0.73901099,2022-01-31 20:33,v2.3-RC2,0,87,,,,,https://avatars.githubusercontent.com/u/15235893?v=4,
mobility-data-specification,A data standard to enable communication between mobility companies and local governments.,openmobilityfoundation,https://github.com/openmobilityfoundation/mobility-data-specification.git,github,"mds,scooters,cities,carshare,bikesharing,scooter-sharing,mobility-as-a-service,bike-share,bike-sharing",Mobility and Transportation,2022-02-14 20:31,570,0,77,checked,Python,openmobilityfoundation,Open Mobility Foundation,Python,https://www.openmobilityfoundation.org/about-mds/,2018-05-03 18:21,CUSTOM,239,1451,2022-02-16 16:45,92,408,627,12,0.40000000,0.58808511,2021-11-04 13:41,1.2.0,0,80,,,checked,checked,https://avatars.githubusercontent.com/u/52187191?v=4,
WhiteboxTools,WhiteboxTools is an advanced geospatial data analysis platform.,jblindsay,https://github.com/jblindsay/whitebox-tools.git,github,"geospatial,gis,remote-sensing,geoprocessing,hydrology,geomorphometry,geomorphology",Water Supply,2022-02-19 00:47,540,0,195,checked,Rust,MODFLOW-USGS,,"Rust,Python",https://www.whiteboxgeo.com/,2018-04-09 22:39,MIT,78,718,2022-02-10 09:31,51,31,173,10,0.00000000,0.04888889,2021-08-30 22:31,v2.0.0,0,14,,,,,https://avatars.githubusercontent.com/u/34482102?v=4,
